スペイン語	日本語	カテゴリ	品詞	例文	例文（日本語訳）	ジャンル
aperitivo	前菜・おつまみ	A2	名詞	Pedimos un aperitivo antes de la cena.	夕食の前に前菜を頼みました。	食べ物
loro	オウム	A1	名詞	Mi loro sabe hablar.	私のオウムは話すことができます。	動物
delfín	イルカ	A1	名詞	Vimos delfines en el mar.	海でイルカを見ました。	動物
tiburón	サメ	A2	名詞	Hay tiburones en ese océano.	あの海にはサメがいます。	動物
ballena	クジラ	A2	名詞	La ballena es un animal enorme.	クジラは巨大な動物です。	動物
pingüino	ペンギン	A1	名詞	El pingüino vive en el frío.	ペンギンは寒い場所に住んでいます。	動物
cocodrilo	ワニ	A2	名詞	El cocodrilo vive en el río.	ワニは川に住んでいます。	動物
hámster	ハムスター	A1	名詞	Tengo un hámster en casa.	家にハムスターを飼っています。	動物
aguacate	アボカド	A2	名詞	Me gusta el aguacate.	アボカドが好きです。	果物・野菜
pepino	キュウリ	A1	名詞	Corto el pepino para la ensalada.	サラダ用にキュウリを切ります。	果物・野菜
pimiento	ピーマン	A1	名詞	El pimiento rojo es dulce.	赤いピーマンは甘いです。	果物・野菜
champiñón	マッシュルーム	A2	名詞	La pizza lleva champiñones.	そのピザにはマッシュルームが入っています。	果物・野菜
guisante	グリーンピース	A2	名詞	No me gustan los guisantes.	グリーンピースは好きではありません。	果物・野菜
coco	ココナッツ	A2	名詞	El agua de coco es refrescante.	ココナッツウォーターはさわやかです。	果物・野菜
brócoli	ブロッコリー	A1	名詞	El brócoli es bueno para la salud.	ブロッコリーは健康に良いです。	果物・野菜
batido	スムージー	A2	名詞	Tomo un batido de fresa.	私はいちごのスムージーを飲みます。	飲み物
infusión	ハーブティー	A2	名詞	Prefiero una infusión antes de dormir.	寝る前にハーブティーを飲む方が好きです。	飲み物
wifi	ワイファイ	A2	名詞	¿Hay wifi en el hotel?	ホテルにワイファイはありますか？	テクノロジー・通信
portátil	ノートパソコン	A2	名詞	Uso el portátil para trabajar.	仕事にノートパソコンを使います。	テクノロジー・通信
tableta	タブレット	A2	名詞	Uso la tableta para leer.	読書にタブレットを使います。	テクノロジー・通信
auriculares	イヤホン	A2	名詞	Escucho música con auriculares.	イヤホンで音楽を聴きます。	テクノロジー・通信
cargador	充電器	A2	名詞	¿Tienes un cargador de móvil?	携帯の充電器を持っていますか？	テクノロジー・通信
piloto	パイロット	A1	名詞	Mi tío es piloto.	私のおじはパイロットです。	仕事・職業
programador	プログラマー	A2	名詞	Trabaja como programador.	彼はプログラマーとして働いています。	仕事・職業
artista	アーティスト	A1	名詞	Es un artista muy famoso.	彼はとても有名なアーティストです。	仕事・職業
cadera	腰	A2	名詞	Le duele la cadera.	彼は腰が痛いです。	身体
muñeca	手首	A1	名詞	Me duele la muñeca.	手首が痛いです。	身体
ceja	眉毛	A2	名詞	Tiene las cejas oscuras.	彼は眉毛が濃いです。	身体
