スペイン語	日本語	カテゴリ	品詞	例文	例文（日本語訳）	ジャンル
ácido	酸っぱい	A1	形容詞	Este limón está muy ácido.	このレモンはとても酸っぱいです。	形容詞（一般）
elegante	エレガントな	A2	形容詞	Lleva un vestido elegante.	彼女はエレガントなドレスを着ています。	形容詞（一般）
incómodo	不快な・窮屈な	A2	形容詞	Esta silla es incómoda.	この椅子は座り心地が悪いです。	形容詞（一般）
ya	もう・すでに	A1	副詞	Ya terminé la tarea.	もう宿題は終わりました。	副詞・その他
aproximadamente	だいたい・約	A2	副詞	Cuesta aproximadamente diez euros.	だいたい10ユーロです。	副詞・その他
durante	～の間	A2	前置詞	Durante el verano viajo mucho.	夏の間、私はよく旅行します。	前置詞・接続詞
alguno	いくつかの	A2	代名詞	Alguno de vosotros lo sabe.	あなたたちのうち誰かはそれを知っています。	疑問詞・代名詞
ninguno	どれも～ない	A2	代名詞	Ninguno de ellos vino.	彼らのうち誰も来ませんでした。	疑問詞・代名詞
cualquiera	どれでも	A2	代名詞	Puedes elegir cualquiera.	どれでも選んでいいですよ。	疑問詞・代名詞
quinto	5番目	A1	序数	Vivo en el quinto piso.	私は5階に住んでいます。	数字
sexto	6番目	A1	序数	Es la sexta vez que vengo aquí.	ここに来るのは6回目です。	数字
séptimo	7番目	A1	序数	Hoy es el séptimo día.	今日は7日目です。	数字
octavo	8番目	A1	序数	Llegó en octavo lugar.	彼は8位でゴールしました。	数字
noveno	9番目	A1	序数	Está en el noveno grado.	彼は9年生です。	数字
décimo	10番目	A1	序数	Celebramos el décimo aniversario.	10周年を祝いました。	数字
trescientos	300	A2	数詞	El libro tiene trescientas páginas.	その本は300ページあります。	数字
cuatrocientos	400	A2	数詞	La entrada cuesta cuatrocientos pesos.	チケットは400ペソです。	数字
seiscientos	600	A2	数詞	Hay seiscientas personas en el estadio.	スタジアムには600人います。	数字
setecientos	700	A2	数詞	La ciudad tiene setecientos años.	その街は700年の歴史があります。	数字
ochocientos	800	A2	数詞	Pagué ochocientos euros por el viaje.	旅行に800ユーロ払いました。	数字
novecientos	900	A2	数詞	El coche cuesta novecientos mil pesos.	その車は90万ペソです。	数字
